country,city,reason,date
Finland,Helsinki,Met with President Koivisto and Prime Minister Holkeri; rested en route to U.S.-Soviet Summit.,"May 25–29, 1988"
U.S.S.R.,Moscow,Summit meeting with General Secretary Gorbachev. Exchanged ratifications of the INF Treaty.,"May 29–June 2, 1988"
United Kingdom,London,"Met with Queen Elizabeth II, Prime Minister Thatcher, and Japanese Prime Minister Takeshita.","June 2–3, 1988"
Canada,Toronto,"Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom.","June 19–21, 1988"
Canada,Ottawa,Working visit; met with Prime Minister Mulroney.,10-Feb-89
Japan,Tokyo,"Attended the funeral of Emperor Hirohito. Met with Emperor Akihito of Japan; the Kings of Belgium, Jordan, and Spain; the Presidents of Brazil, Egypt, France, the Federal Republic of Germany, Israel, Italy, Nigeria, the Philippines, Portugal, and Zaire; and the Prime Ministers of Japan, Pakistan, Singapore, Thailand, and Turkey.","February 23–25, 1989"
"China, People’s Republic of",Beijing,Met with President Yang and Prime Minister Li. Also met with Prince Sihanouk of Cambodia.,"February 25–27, 1989"
"Korea, Republic of",Seoul,Official visit; addressed the National Assembly.,27-Feb-89
Italy,"Rome, Nettuno",Met with President Cossiga and Prime Minister De Mita.,"May 26–28, 1989"
Vatican City,,Audience with Pope John Paul II.,27-May-89
Belgium,Brussels,"Attended NATO Summit Meeting. Present were the Heads of State and Government of Canada, Denmark, France, Federal Republic of Germany, Greece, Iceland, Italy, Luxembourg, Norway, Portugal, Spain, Turkey, and the United Kingdom.","May 28–30, 1989"
"Germany, Federal Republic of","Bonn, Mainz",Met with Chancellor Kohl.,"May 30–31, 1989"
United Kingdom,London,Met with Queen Elizabeth II and Prime Minister Thatcher.,"May 31–June 2, 1989"
Poland,"Warsaw, Gdansk",Met with government and Solidarity leaders. Addressed the National Assembly on July 10.,"July 9–11, 1989"
Hungary,Budapest,Met with Hungarian officials and delivered an address at Karl Marx University.,"July 11–13, 1989"
France,Paris,"Attended Economic Summit Meeting of the Heads of State and Government of Canada, France, the Federal Republic of Germany, Italy, Japan, and the United Kingdom. Also attended ceremonies for the Bicentennial of the French Revolution, and met with Ivorian President Houphouet-Boigny.","July 13–17, 1989"
Netherlands,"The Hague, Leiden",Met with Queen Beatrix and Prime Minister Lubbers and delivered a public address.,"July 17–18, 1989"
Costa Rica,San Jose,Attended Hemispheric Summit Meeting.,"October 27–28, 1989"
Malta,"Valletta, Marsaxlokk Bay",Attended Summit Meeting (December 2-3) with Soviet Chairman Gorbachev. Met also with Maltese Prime Minister Fenech Adami.,"December 1–3, 1989"
Belgium,Brussels,Briefed NATO Heads of State and Government on the U.S.-Soviet Summit Meeting.,"December 3–4, 1989"
France,St. Martin Island (French West Indies),Informal meeting with President Mitterrand.,16-Dec-89
Colombia,Cartagena,"Attended Summit Meeting on the control of illicit drug trafficking, with the Presidents of Colombia, Bolivia, and Peru.",15-Feb-90
Canada,Toronto,Informal meeting with Prime Minister Mulroney.,10-Apr-90
United Kingdom,Bermuda,Informal meeting with Prime Minister Thatcher.,"April 13–14, 1990"
United Kingdom,London,Attended NATO Summit Meeting.,"July 5–6, 1990"
Finland,Helsinki,Summit Meeting with Soviet President Gorbachev. Issued joint statement on the Persian Gulf crisis. Also met with President Koivisto.,"September 8–9, 1990"
Czechoslovakia,Prague,"Attended ceremonies commemorating the first anniversary of the ""Velvet Revolution."" Addressed the Federal Assembly.",17-Nov-90
Germany,"Speyer, Ludwigshafen",Met with Chancellor Kohl.,18-Nov-90
France,Paris,Attended CSCE Summit Meeting and the signing of the Treaty on Conventional Armed Forces in Europe.,"November 18–21, 1990"
Saudi Arabia,"Jeddah, Dhahran",Met with King Fahd and the Amir of Kuwait. Addressed U.S. and British military personnel in eastern Saudi Arabia.,"November 21–22, 1990"
Egypt,Cairo,Discussed the Persian Gulf crisis with President Mubarak.,"November 22–23, 1990"
Switzerland,Geneva,Discussed the Persian Gulf crisis with Syrian President Assad.,23-Nov-90
